contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate,optionType
SPY250529C00530000,2025-05-28 19:47:37+00:00,530.0,58.76,56.21,59.44,-1.5800018,-2.6184983,4.0,4.0,0.8632826171875,True,REGULAR,USD,2025-05-29,call
SPY250529C00535000,2025-05-28 20:01:39+00:00,535.0,52.4,50.98,54.44,9.900002,23.29412,2.0,1.0,1.3540071362304684,True,REGULAR,USD,2025-05-29,call
SPY250529C00540000,2025-05-28 19:14:46+00:00,540.0,50.01,47.49,49.46,-0.65999985,-1.3025457,6.0,195.0,1.0268603344726563,True,REGULAR,USD,2025-05-29,call
SPY250529C00545000,2025-05-27 19:43:01+00:00,545.0,45.59,40.98,44.47,0.0,0.0,2.0,2.0,1.1557659399414062,True,REGULAR,USD,2025-05-29,call
SPY250529C00550000,2025-05-28 18:21:20+00:00,550.0,41.05,36.03,39.44,2.8899994,7.573374,274.0,13.0,1.0468797656250002,True,REGULAR,USD,2025-05-29,call
SPY250529C00551000,2025-05-28 19:00:44+00:00,551.0,38.64,35.04,38.43,11.519999,42.47787,19.0,5.0,1.0244189404296877,True,REGULAR,USD,2025-05-29,call
SPY250529C00552000,2025-05-28 19:00:44+00:00,552.0,37.64,34.03,37.43,-1.2099991,-3.1145408,23.0,2.0,1.003667091064453,True,REGULAR,USD,2025-05-29,call
SPY250529C00553000,2025-05-28 16:29:47+00:00,553.0,36.92,33.23,36.45,9.669998,35.486233,2.0,4.0,0.5566450585937501,True,REGULAR,USD,2025-05-29,call
SPY250529C00554000,2025-05-23 17:13:11+00:00,554.0,26.41,32.23,35.45,0.0,0.0,3.0,2.0,0.5419967675781252,True,REGULAR,USD,2025-05-29,call
SPY250529C00555000,2025-05-28 19:53:13+00:00,555.0,32.8,30.97,34.45,-2.5699997,-7.266044,4.0,7.0,0.9443364941406249,True,REGULAR,USD,2025-05-29,call
SPY250529C00556000,2025-05-27 17:40:04+00:00,556.0,34.27,29.97,33.45,0.0,0.0,4.0,3.0,0.9230964721679689,True,REGULAR,USD,2025-05-29,call
SPY250529C00557000,2025-05-23 20:11:50+00:00,557.0,22.21,28.97,32.45,0.0,0.0,8.0,3.0,0.9018564501953125,True,REGULAR,USD,2025-05-29,call
SPY250529C00558000,2025-05-28 18:21:20+00:00,558.0,33.22,27.97,31.45,10.610001,46.926136,2.0,2.0,0.8808605664062499,True,REGULAR,USD,2025-05-29,call
SPY250529C00559000,2025-05-28 19:50:45+00:00,559.0,29.44,26.97,30.44,7.720001,35.543285,1.0,7.0,0.8579115771484375,True,REGULAR,USD,2025-05-29,call
SPY250529C00560000,2025-05-28 19:52:36+00:00,560.0,28.17,26.04,29.45,-2.6499996,-8.598311,19.0,19.0,0.8378922460937499,True,REGULAR,USD,2025-05-29,call
SPY250529C00561000,2025-05-28 19:07:11+00:00,561.0,29.34,24.98,28.48,0.040000916,0.1365219,3.0,15.0,0.8210467114257811,True,REGULAR,USD,2025-05-29,call
SPY250529C00562000,2025-05-28 20:11:25+00:00,562.0,26.02,24.29,27.46,1.0200005,4.080002,8.0,20.0,0.7963887548828125,True,REGULAR,USD,2025-05-29,call
SPY250529C00563000,2025-05-28 19:10:15+00:00,563.0,27.66,23.05,26.46,2.0300007,7.9204082,9.0,33.0,0.7746604565429689,True,REGULAR,USD,2025-05-29,call
SPY250529C00564000,2025-05-27 19:51:09+00:00,564.0,26.48,21.98,25.46,0.0,0.0,6.0,30.0,0.7526880200195312,True,REGULAR,USD,2025-05-29,call
SPY250529C00565000,2025-05-28 20:14:44+00:00,565.0,22.69,20.98,24.45,-2.8599987,-11.193733,20.0,47.0,0.729494892578125,True,REGULAR,USD,2025-05-29,call
SPY250529C00566000,2025-05-28 20:02:54+00:00,566.0,21.46,19.99,23.45,-2.8500004,-11.723572,25.0,73.0,0.7072783178710937,True,REGULAR,USD,2025-05-29,call
SPY250529C00567000,2025-05-27 19:54:36+00:00,567.0,23.59,18.99,22.53,0.0,0.0,3.0,6.0,0.6960479614257813,True,REGULAR,USD,2025-05-29,call
